ci95_high,ci95_low,group,mean_delta,metric,module_added,module_step,p_two_sided,paired_sample_count
0.015736,0.010832,overall,0.013297,objective_score,prompt cleaning,A1 minus A0,0.000000,9000
-0.014874,-0.025501,overall,-0.020463,cpr,prompt cleaning,A1 minus A0,0.000000,9000
-0.141903,-0.450931,overall,-0.297667,longest_repeat_run,prompt cleaning,A1 minus A0,0.000000,9000
0.058611,0.041087,overall,0.050049,repetition_score,prompt cleaning,A1 minus A0,0.000000,9000
0.002283,-0.003218,overall,-0.000334,duration_match_ratio,prompt cleaning,A1 minus A0,0.750000,9000
0.044054,-0.003281,overall,0.019809,duration_error_sec,prompt cleaning,A1 minus A0,0.092000,9000
0.008283,-0.000701,overall,0.003702,psr,prompt cleaning,A1 minus A0,0.114000,9000
0.024906,0.008015,overall,0.015906,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.000000,9000
0.022843,0.003055,overall,0.012483,cadence_score,prompt cleaning,A1 minus A0,0.012000,9000
-0.035350,-0.048638,overall,-0.041712,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,9000
0.038919,0.034068,overall,0.036439,objective_score,repetition suppression,A2 minus A1,0.000000,9000
-0.091094,-0.100490,overall,-0.095520,cpr,repetition suppression,A2 minus A1,0.000000,9000
-1.408575,-1.640461,overall,-1.522778,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,9000
0.185315,0.170772,overall,0.177517,repetition_score,repetition suppression,A2 minus A1,0.000000,9000
0.014998,0.009309,overall,0.012307,duration_match_ratio,repetition suppression,A2 minus A1,0.000000,9000
-0.059765,-0.114683,overall,-0.088075,duration_error_sec,repetition suppression,A2 minus A1,0.000000,9000
-0.029175,-0.038406,overall,-0.033846,psr,repetition suppression,A2 minus A1,0.000000,9000
-0.033692,-0.048017,overall,-0.040731,strong_beat_stable_rate,repetition suppression,A2 minus A1,0.000000,9000
-0.045382,-0.065286,overall,-0.055678,cadence_score,repetition suppression,A2 minus A1,0.000000,9000
0.063831,0.052203,overall,0.058056,qualified_rhythm_rate,repetition suppression,A2 minus A1,0.000000,9000
0.031398,0.028143,overall,0.029822,objective_score,duration matching,A3 minus A2,0.000000,9000
0.014513,0.011443,overall,0.012986,cpr,duration matching,A3 minus A2,0.000000,9000
-0.035667,-0.051222,overall,-0.043889,longest_repeat_run,duration matching,A3 minus A2,0.000000,9000
-0.020544,-0.025968,overall,-0.023417,repetition_score,duration matching,A3 minus A2,0.000000,9000
-0.005925,-0.012109,overall,-0.008982,duration_match_ratio,duration matching,A3 minus A2,0.000000,9000
-0.061616,-0.107671,overall,-0.083791,duration_error_sec,duration matching,A3 minus A2,0.000000,9000
0.001294,-0.002211,overall,-0.000478,psr,duration matching,A3 minus A2,0.588000,9000
0.020614,0.008803,overall,0.014943,strong_beat_stable_rate,duration matching,A3 minus A2,0.000000,9000
0.009189,-0.008678,overall,-0.000111,cadence_score,duration matching,A3 minus A2,0.950000,9000
0.025032,0.009748,overall,0.017574,qualified_rhythm_rate,duration matching,A3 minus A2,0.000000,9000
0.000000,0.000000,overall,0.000000,objective_score,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,cpr,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,longest_repeat_run,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,repetition_score,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,duration_match_ratio,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,duration_error_sec,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,psr,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,strong_beat_stable_rate,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,cadence_score,motif fallback,A4 minus A3,1.000000,9000
0.000000,0.000000,overall,0.000000,qualified_rhythm_rate,motif fallback,A4 minus A3,1.000000,9000
0.070537,0.066357,overall,0.068403,objective_score,style constraint,A5 minus A4,0.000000,9000
0.081895,0.076809,overall,0.079414,cpr,style constraint,A5 minus A4,0.000000,9000
0.376339,0.349442,overall,0.363111,longest_repeat_run,style constraint,A5 minus A4,0.000000,9000
-0.161759,-0.172951,overall,-0.167451,repetition_score,style constraint,A5 minus A4,0.000000,9000
0.019551,0.016843,overall,0.018203,duration_match_ratio,style constraint,A5 minus A4,0.000000,9000
-0.132737,-0.151148,overall,-0.142352,duration_error_sec,style constraint,A5 minus A4,0.000000,9000
0.467407,0.456226,overall,0.461765,psr,style constraint,A5 minus A4,0.000000,9000
0.295909,0.277118,overall,0.286020,strong_beat_stable_rate,style constraint,A5 minus A4,0.000000,9000
0.354640,0.338281,overall,0.346689,cadence_score,style constraint,A5 minus A4,0.000000,9000
0.031195,0.026695,overall,0.028997,qualified_rhythm_rate,style constraint,A5 minus A4,0.000000,9000
0.024868,0.022480,overall,0.023681,objective_score,full controlled,A6 minus A5,0.000000,9000
0.008511,0.004590,overall,0.006638,cpr,full controlled,A6 minus A5,0.000000,9000
0.122892,0.101556,overall,0.113111,longest_repeat_run,full controlled,A6 minus A5,0.000000,9000
-0.017912,-0.026132,overall,-0.021883,repetition_score,full controlled,A6 minus A5,0.000000,9000
0.095301,0.089722,overall,0.092492,duration_match_ratio,full controlled,A6 minus A5,0.000000,9000
-0.423649,-0.450351,overall,-0.437255,duration_error_sec,full controlled,A6 minus A5,0.000000,9000
0.000000,0.000000,overall,0.000000,psr,full controlled,A6 minus A5,1.000000,9000
0.029731,0.022411,overall,0.026118,strong_beat_stable_rate,full controlled,A6 minus A5,0.000000,9000
0.268380,0.259766,overall,0.264156,cadence_score,full controlled,A6 minus A5,0.000000,9000
0.024146,0.021448,overall,0.022744,qualified_rhythm_rate,full controlled,A6 minus A5,0.000000,9000
0.019482,0.007266,pentatonic_no_theory,0.013475,objective_score,prompt cleaning,A1 minus A0,0.000000,1500
0.003253,-0.023570,pentatonic_no_theory,-0.010661,cpr,prompt cleaning,A1 minus A0,0.142000,1500
0.186017,-0.451367,pentatonic_no_theory,-0.126000,longest_repeat_run,prompt cleaning,A1 minus A0,0.420000,1500
0.057127,0.016574,pentatonic_no_theory,0.037075,repetition_score,prompt cleaning,A1 minus A0,0.000000,1500
0.003354,-0.010083,pentatonic_no_theory,-0.003345,duration_match_ratio,prompt cleaning,A1 minus A0,0.370000,1500
0.094581,-0.013124,pentatonic_no_theory,0.042020,duration_error_sec,prompt cleaning,A1 minus A0,0.132000,1500
0.014372,-0.006737,pentatonic_no_theory,0.003735,psr,prompt cleaning,A1 minus A0,0.516000,1500
0.032067,-0.008988,pentatonic_no_theory,0.010935,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.322000,1500
0.043007,-0.005768,pentatonic_no_theory,0.018667,cadence_score,prompt cleaning,A1 minus A0,0.150000,1500
-0.022445,-0.056902,pentatonic_no_theory,-0.040037,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,1500
0.040788,0.028818,pentatonic_no_theory,0.034848,objective_score,repetition suppression,A2 minus A1,0.000000,1500
-0.083010,-0.104761,pentatonic_no_theory,-0.094053,cpr,repetition suppression,A2 minus A1,0.000000,1500
-1.227333,-1.752717,pentatonic_no_theory,-1.480667,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,1500
0.203552,0.165834,pentatonic_no_theory,0.184994,repetition_score,repetition suppression,A2 minus A1,0.000000,1500
0.018568,0.005795,pentatonic_no_theory,0.011828,duration_match_ratio,repetition suppression,A2 minus A1,0.000000,1500
-0.038973,-0.165408,pentatonic_no_theory,-0.099713,duration_error_sec,repetition suppression,A2 minus A1,0.000000,1500
-0.021980,-0.042854,pentatonic_no_theory,-0.032051,psr,repetition suppression,A2 minus A1,0.000000,1500
-0.014013,-0.051725,pentatonic_no_theory,-0.032459,strong_beat_stable_rate,repetition suppression,A2 minus A1,0.002000,1500
-0.037462,-0.086033,pentatonic_no_theory,-0.060433,cadence_score,repetition suppression,A2 minus A1,0.000000,1500
0.069606,0.039784,pentatonic_no_theory,0.054620,qualified_rhythm_rate,repetition suppression,A2 minus A1,0.000000,1500
0.035045,0.026257,pentatonic_no_theory,0.030626,objective_score,duration matching,A3 minus A2,0.000000,1500
0.018632,0.009477,pentatonic_no_theory,0.013729,cpr,duration matching,A3 minus A2,0.000000,1500
-0.040000,-0.076000,pentatonic_no_theory,-0.058000,longest_repeat_run,duration matching,A3 minus A2,0.000000,1500
-0.015148,-0.029077,pentatonic_no_theory,-0.022125,repetition_score,duration matching,A3 minus A2,0.000000,1500
-0.009205,-0.023850,pentatonic_no_theory,-0.016365,duration_match_ratio,duration matching,A3 minus A2,0.000000,1500
0.033307,-0.062125,pentatonic_no_theory,-0.012740,duration_error_sec,duration matching,A3 minus A2,0.588000,1500
0.009050,0.000016,pentatonic_no_theory,0.004482,psr,duration matching,A3 minus A2,0.050000,1500
0.023938,-0.003413,pentatonic_no_theory,0.009823,strong_beat_stable_rate,duration matching,A3 minus A2,0.162000,1500
0.029135,-0.019242,pentatonic_no_theory,0.005467,cadence_score,duration matching,A3 minus A2,0.622000,1500
0.051513,0.016318,pentatonic_no_theory,0.033621,qualified_rhythm_rate,duration matching,A3 minus A2,0.004000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,objective_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,cpr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,longest_repeat_run,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,repetition_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,duration_match_ratio,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,duration_error_sec,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,psr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,strong_beat_stable_rate,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,cadence_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,qualified_rhythm_rate,motif fallback,A4 minus A3,1.000000,1500
0.073111,0.062611,pentatonic_no_theory,0.067903,objective_score,style constraint,A5 minus A4,0.000000,1500
0.087646,0.074507,pentatonic_no_theory,0.081239,cpr,style constraint,A5 minus A4,0.000000,1500
0.402667,0.335317,pentatonic_no_theory,0.367333,longest_repeat_run,style constraint,A5 minus A4,0.000000,1500
-0.158022,-0.186954,pentatonic_no_theory,-0.172553,repetition_score,style constraint,A5 minus A4,0.000000,1500
0.020509,0.013595,pentatonic_no_theory,0.016955,duration_match_ratio,style constraint,A5 minus A4,0.000000,1500
-0.112029,-0.154595,pentatonic_no_theory,-0.132043,duration_error_sec,style constraint,A5 minus A4,0.000000,1500
0.473709,0.446228,pentatonic_no_theory,0.458993,psr,style constraint,A5 minus A4,0.000000,1500
0.324297,0.277789,pentatonic_no_theory,0.301310,strong_beat_stable_rate,style constraint,A5 minus A4,0.000000,1500
0.370603,0.330632,pentatonic_no_theory,0.350767,cadence_score,style constraint,A5 minus A4,0.000000,1500
0.033472,0.023069,pentatonic_no_theory,0.028239,qualified_rhythm_rate,style constraint,A5 minus A4,0.000000,1500
0.016964,0.011945,pentatonic_no_theory,0.014470,objective_score,full controlled,A6 minus A5,0.000000,1500
0.012293,0.003203,pentatonic_no_theory,0.007863,cpr,full controlled,A6 minus A5,0.002000,1500
0.140000,0.098000,pentatonic_no_theory,0.118667,longest_repeat_run,full controlled,A6 minus A5,0.000000,1500
-0.016612,-0.033134,pentatonic_no_theory,-0.024958,repetition_score,full controlled,A6 minus A5,0.000000,1500
0.100656,0.086600,pentatonic_no_theory,0.094159,duration_match_ratio,full controlled,A6 minus A5,0.000000,1500
-0.412385,-0.478631,pentatonic_no_theory,-0.445559,duration_error_sec,full controlled,A6 minus A5,0.000000,1500
0.000000,0.000000,pentatonic_no_theory,0.000000,psr,full controlled,A6 minus A5,1.000000,1500
0.035892,0.020775,pentatonic_no_theory,0.028333,strong_beat_stable_rate,full controlled,A6 minus A5,0.000000,1500
0.275471,0.253429,pentatonic_no_theory,0.264367,cadence_score,full controlled,A6 minus A5,0.000000,1500
0.019435,0.013984,pentatonic_no_theory,0.016601,qualified_rhythm_rate,full controlled,A6 minus A5,0.000000,1500
0.015402,0.004139,pentatonic_balanced,0.009617,objective_score,prompt cleaning,A1 minus A0,0.000000,1500
-0.004598,-0.035389,pentatonic_balanced,-0.019958,cpr,prompt cleaning,A1 minus A0,0.008000,1500
0.182683,-0.718000,pentatonic_balanced,-0.278000,longest_repeat_run,prompt cleaning,A1 minus A0,0.222000,1500
0.071446,0.029379,pentatonic_balanced,0.049849,repetition_score,prompt cleaning,A1 minus A0,0.000000,1500
0.009765,-0.002435,pentatonic_balanced,0.003823,duration_match_ratio,prompt cleaning,A1 minus A0,0.244000,1500
0.016014,-0.068195,pentatonic_balanced,-0.027202,duration_error_sec,prompt cleaning,A1 minus A0,0.172000,1500
0.004281,-0.018002,pentatonic_balanced,-0.006935,psr,prompt cleaning,A1 minus A0,0.258000,1500
0.038310,-0.005700,pentatonic_balanced,0.016635,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.144000,1500
0.032141,-0.017533,pentatonic_balanced,0.007133,cadence_score,prompt cleaning,A1 minus A0,0.552000,1500
-0.040152,-0.076303,pentatonic_balanced,-0.058024,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,1500
0.048001,0.035851,pentatonic_balanced,0.041915,objective_score,repetition suppression,A2 minus A1,0.000000,1500
-0.105069,-0.128765,pentatonic_balanced,-0.117083,cpr,repetition suppression,A2 minus A1,0.000000,1500
-1.663317,-2.357433,pentatonic_balanced,-2.000000,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,1500
0.222157,0.184226,pentatonic_balanced,0.203164,repetition_score,repetition suppression,A2 minus A1,0.000000,1500
0.017941,0.006760,pentatonic_balanced,0.012020,duration_match_ratio,repetition suppression,A2 minus A1,0.000000,1500
-0.024477,-0.110204,pentatonic_balanced,-0.067959,duration_error_sec,repetition suppression,A2 minus A1,0.004000,1500
-0.026791,-0.051379,pentatonic_balanced,-0.038809,psr,repetition suppression,A2 minus A1,0.000000,1500
-0.034877,-0.071727,pentatonic_balanced,-0.053739,strong_beat_stable_rate,repetition suppression,A2 minus A1,0.000000,1500
-0.043029,-0.092585,pentatonic_balanced,-0.068133,cadence_score,repetition suppression,A2 minus A1,0.000000,1500
0.091013,0.060276,pentatonic_balanced,0.075043,qualified_rhythm_rate,repetition suppression,A2 minus A1,0.000000,1500
0.030135,0.021842,pentatonic_balanced,0.025943,objective_score,duration matching,A3 minus A2,0.000000,1500
0.021917,0.013891,pentatonic_balanced,0.017765,cpr,duration matching,A3 minus A2,0.000000,1500
0.005333,-0.032683,pentatonic_balanced,-0.014000,longest_repeat_run,duration matching,A3 minus A2,0.140000,1500
-0.026079,-0.039317,pentatonic_balanced,-0.032196,repetition_score,duration matching,A3 minus A2,0.000000,1500
-0.008160,-0.022920,pentatonic_balanced,-0.015795,duration_match_ratio,duration matching,A3 minus A2,0.000000,1500
0.054476,-0.027757,pentatonic_balanced,0.013188,duration_error_sec,duration matching,A3 minus A2,0.506000,1500
0.002975,-0.005971,pentatonic_balanced,-0.001210,psr,duration matching,A3 minus A2,0.574000,1500
0.033766,0.003716,pentatonic_balanced,0.018208,strong_beat_stable_rate,duration matching,A3 minus A2,0.008000,1500
0.026867,-0.013967,pentatonic_balanced,0.006900,cadence_score,duration matching,A3 minus A2,0.504000,1500
0.018608,-0.022326,pentatonic_balanced,-0.001837,qualified_rhythm_rate,duration matching,A3 minus A2,0.840000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,objective_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,cpr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,longest_repeat_run,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,repetition_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,duration_match_ratio,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,duration_error_sec,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,psr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,strong_beat_stable_rate,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,cadence_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,qualified_rhythm_rate,motif fallback,A4 minus A3,1.000000,1500
0.070947,0.060684,pentatonic_balanced,0.065672,objective_score,style constraint,A5 minus A4,0.000000,1500
0.087972,0.075230,pentatonic_balanced,0.081668,cpr,style constraint,A5 minus A4,0.000000,1500
0.402000,0.336000,pentatonic_balanced,0.369333,longest_repeat_run,style constraint,A5 minus A4,0.000000,1500
-0.158181,-0.186719,pentatonic_balanced,-0.172447,repetition_score,style constraint,A5 minus A4,0.000000,1500
0.020204,0.013864,pentatonic_balanced,0.017017,duration_match_ratio,style constraint,A5 minus A4,0.000000,1500
-0.112605,-0.150905,pentatonic_balanced,-0.132247,duration_error_sec,style constraint,A5 minus A4,0.000000,1500
0.479054,0.450822,pentatonic_balanced,0.464966,psr,style constraint,A5 minus A4,0.000000,1500
0.309350,0.262613,pentatonic_balanced,0.286877,strong_beat_stable_rate,style constraint,A5 minus A4,0.000000,1500
0.366970,0.324598,pentatonic_balanced,0.345533,cadence_score,style constraint,A5 minus A4,0.000000,1500
0.034498,0.024384,pentatonic_balanced,0.029542,qualified_rhythm_rate,style constraint,A5 minus A4,0.000000,1500
0.034078,0.026974,pentatonic_balanced,0.030225,objective_score,full controlled,A6 minus A5,0.000000,1500
0.010260,-0.000231,pentatonic_balanced,0.005068,cpr,full controlled,A6 minus A5,0.066000,1500
0.154667,0.098667,pentatonic_balanced,0.126000,longest_repeat_run,full controlled,A6 minus A5,0.000000,1500
-0.007807,-0.030995,pentatonic_balanced,-0.019908,repetition_score,full controlled,A6 minus A5,0.000000,1500
0.097655,0.083779,pentatonic_balanced,0.090796,duration_match_ratio,full controlled,A6 minus A5,0.000000,1500
-0.398295,-0.462975,pentatonic_balanced,-0.430089,duration_error_sec,full controlled,A6 minus A5,0.000000,1500
0.000000,0.000000,pentatonic_balanced,0.000000,psr,full controlled,A6 minus A5,1.000000,1500
0.034013,0.015698,pentatonic_balanced,0.024272,strong_beat_stable_rate,full controlled,A6 minus A5,0.000000,1500
0.274868,0.251432,pentatonic_balanced,0.262733,cadence_score,full controlled,A6 minus A5,0.000000,1500
0.028319,0.021153,pentatonic_balanced,0.024552,qualified_rhythm_rate,full controlled,A6 minus A5,0.000000,1500
0.015998,0.004811,pentatonic_conservative,0.010443,objective_score,prompt cleaning,A1 minus A0,0.000000,1500
-0.007623,-0.040162,pentatonic_conservative,-0.023670,cpr,prompt cleaning,A1 minus A0,0.000000,1500
0.150067,-0.892033,pentatonic_conservative,-0.363333,longest_repeat_run,prompt cleaning,A1 minus A0,0.168000,1500
0.068845,0.022903,pentatonic_conservative,0.046495,repetition_score,prompt cleaning,A1 minus A0,0.000000,1500
0.016001,0.002254,pentatonic_conservative,0.008688,duration_match_ratio,prompt cleaning,A1 minus A0,0.012000,1500
-0.016882,-0.093078,pentatonic_conservative,-0.055457,duration_error_sec,prompt cleaning,A1 minus A0,0.006000,1500
0.015681,-0.006273,pentatonic_conservative,0.004893,psr,prompt cleaning,A1 minus A0,0.372000,1500
0.031866,-0.010949,pentatonic_conservative,0.010755,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.350000,1500
0.040801,-0.004972,pentatonic_conservative,0.016700,cadence_score,prompt cleaning,A1 minus A0,0.148000,1500
-0.033893,-0.068175,pentatonic_conservative,-0.050539,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,1500
0.042802,0.031092,pentatonic_conservative,0.037003,objective_score,repetition suppression,A2 minus A1,0.000000,1500
-0.120265,-0.148517,pentatonic_conservative,-0.134702,cpr,repetition suppression,A2 minus A1,0.000000,1500
-1.941317,-2.669333,pentatonic_conservative,-2.298000,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,1500
0.237429,0.198623,pentatonic_conservative,0.217336,repetition_score,repetition suppression,A2 minus A1,0.000000,1500
0.013960,0.002182,pentatonic_conservative,0.007818,duration_match_ratio,repetition suppression,A2 minus A1,0.004000,1500
-0.006811,-0.069166,pentatonic_conservative,-0.038513,duration_error_sec,repetition suppression,A2 minus A1,0.018000,1500
-0.032303,-0.054786,pentatonic_conservative,-0.043822,psr,repetition suppression,A2 minus A1,0.000000,1500
-0.033397,-0.069623,pentatonic_conservative,-0.051760,strong_beat_stable_rate,repetition suppression,A2 minus A1,0.000000,1500
-0.050424,-0.100136,pentatonic_conservative,-0.075367,cadence_score,repetition suppression,A2 minus A1,0.000000,1500
0.092594,0.061481,pentatonic_conservative,0.076858,qualified_rhythm_rate,repetition suppression,A2 minus A1,0.000000,1500
0.034654,0.026779,pentatonic_conservative,0.030694,objective_score,duration matching,A3 minus A2,0.000000,1500
0.018862,0.012737,pentatonic_conservative,0.015833,cpr,duration matching,A3 minus A2,0.000000,1500
0.020683,-0.016017,pentatonic_conservative,0.002000,longest_repeat_run,duration matching,A3 minus A2,0.858000,1500
-0.025156,-0.037327,pentatonic_conservative,-0.030998,repetition_score,duration matching,A3 minus A2,0.000000,1500
-0.008099,-0.021858,pentatonic_conservative,-0.014799,duration_match_ratio,duration matching,A3 minus A2,0.000000,1500
0.058623,-0.008641,pentatonic_conservative,0.025875,duration_error_sec,duration matching,A3 minus A2,0.160000,1500
0.006035,-0.002421,pentatonic_conservative,0.001858,psr,duration matching,A3 minus A2,0.388000,1500
0.034174,0.006083,pentatonic_conservative,0.019902,strong_beat_stable_rate,duration matching,A3 minus A2,0.002000,1500
0.027341,-0.019939,pentatonic_conservative,0.001700,cadence_score,duration matching,A3 minus A2,0.840000,1500
0.033453,-0.010528,pentatonic_conservative,0.011512,qualified_rhythm_rate,duration matching,A3 minus A2,0.316000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,objective_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,cpr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,longest_repeat_run,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,repetition_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,duration_match_ratio,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,duration_error_sec,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,psr,motif fallback,A4 minus A3,1.000000,1500
